,0,1,2,3,4
182,USA-AZ,True,2021-02-27 22:58:26,,
183,USA-TX,True,2021-02-27 22:58:01,,
184,USA-MI,True,2021-02-27 22:56:18,,
185,USA-SC,True,2021-02-27 22:43:55,,
186,US-NJ,True,2021-02-27 22:43:29,Quadro,
187,USA-AZ,True,2021-02-27 22:42:41,RTX 3090,2200
188,USA-CT,True,2021-02-27 22:32:00,,
189,USA-MD,True,2021-02-27 22:29:25,,
190,USA-CA,True,2021-02-27 22:23:26,,
191,USA-NY,True,2021-02-27 22:22:01,,
192,USA-WA,True,2021-02-27 22:19:21,,
193,USA-MN,True,2021-02-27 22:18:38,,
194,USA-ID,True,2021-02-27 22:15:24,,
195,USA-GA,True,2021-02-27 22:15:01,,
196,USA-CA,True,2021-02-27 22:15:00,,
197,USA-GA,True,2021-02-27 22:15:00,,
198,USA-CA,True,2021-02-27 22:14:42,,
199,USA-PA,True,2021-02-27 22:14:03,,
200,USA-NV,True,2021-02-27 22:12:04,,
201,USA-NJ,True,2021-02-27 22:09:11,,
202,USA-NC,True,2021-02-27 22:08:16,,
203,USA-TX,True,2021-02-27 22:06:20,,
204,USA-AZ,True,2021-02-27 22:06:14,,
205,USA-DE,True,2021-02-27 22:05:17,,
206,USA-CA,True,2021-02-27 22:03:55,,
207,USA-PA,True,2021-02-27 22:02:08,,
208,USA-GA,True,2021-02-27 22:01:11,,
209,USA-NY,True,2021-02-27 21:54:13,,
210,USA-PA,True,2021-02-27 21:48:20,,
211,USA-MI,True,2021-02-27 21:47:35,,
212,USA-CA,True,2021-02-27 21:44:15,,
213,USA-NC,True,2021-02-27 21:43:40,,
214,USA-UT,True,2021-02-27 21:41:53,,
215,USA-OH,True,2021-02-27 21:35:19,,
216,USA-CA,True,2021-02-27 21:33:45,,
217,USA-NY,True,2021-02-27 21:32:24,,
218,USA-CA,True,2021-02-27 21:26:33,,
219,USA-PA,True,2021-02-27 21:23:48,,
220,USA-MN,True,2021-02-27 21:23:09,,
221,USA-MA,True,2021-02-27 21:18:29,RTX 3070,1100
222,USA-NYC,True,2021-02-27 21:17:01,,
223,USA-TX,True,2021-02-27 21:16:00,,
224,USA-VA,True,2021-02-27 21:15:34,,
225,USA-MN,True,2021-02-27 21:13:25,,
226,USA-CA,True,2021-02-27 21:12:23,,
227,USA-NY,True,2021-02-27 21:12:13,,
228,USA-NJ,True,2021-02-27 21:12:01,,
229,USA-GA,True,2021-02-27 21:11:17,,
230,USA-VA,True,2021-02-27 21:10:30,,
231,USA-LA,True,2021-02-27 21:10:12,RTX 3080,
232,US-CA,True,2021-02-27 21:09:55,,
233,US-TX,True,2021-02-27 21:07:20,Quadro,3000
234,USA-VA,True,2021-02-27 21:05:50,,
235,USA-TX,True,2021-02-27 21:05:10,,
236,USA-PA,True,2021-02-27 21:02:23,,
237,USA-IL,True,2021-02-27 21:01:08,,
238,USA-IL,True,2021-02-27 21:01:03,,
239,USA-PA,True,2021-02-27 20:58:45,,
240,USA-MN,True,2021-02-27 20:58:28,RX 6800,1200
241,USA-CT,True,2021-02-27 20:57:58,,
242,USA-CA,True,2021-02-27 20:50:54,,
243,USA-NY,True,2021-02-27 20:50:50,,
244,USA-OR,True,2021-02-27 20:48:32,,
245,USA-GA,True,2021-02-27 20:39:44,,
246,USA-TN,True,2021-02-27 20:35:03,,
247,USA-NY,True,2021-02-27 20:33:24,,
248,USA-MA,True,2021-02-27 20:31:45,,
249,USA-IL,True,2021-02-27 20:31:43,,
250,USA-PA,True,2021-02-27 20:31:26,,
251,USA-NY,True,2021-02-27 20:29:49,,
252,USA-PA,True,2021-02-27 20:27:57,,
253,USA-WA,True,2021-02-27 20:26:17,,
254,USA-TX,True,2021-02-27 20:25:07,,
255,USA-IL,True,2021-02-27 20:24:52,RTX 3080,
256,USA-NJ,True,2021-02-27 20:22:51,,
257,USA-TN,True,2021-02-27 20:22:48,,
258,USA-NC,True,2021-02-27 20:18:58,,
